date,lieu,oeuvre,type,latitude,longitude,description,artistes_lies
1998-01-01,"Bristol, UK",Love Is In The Air,Street Art,51.454,-2.587,"Manifestant lançant un bouquet de fleurs",
1999-01-01,"Bristol, UK",The Mild Mild West,Mural,51.462,-2.603,"Ours en peluche lançant un cocktail Molotov",
2002-05-01,"Los Angeles, USA",Existencilism,Exposition,34.052,-118.244,"Première exposition solo aux États-Unis","Thierry Guetta, Shepard Fairey"
2002-01-01,"Londres, UK",Girl with Balloon,Street Art,51.5074,-0.1278,"Petite fille laissant s'envoler un ballon rouge en forme de cœur",
2003-01-01,"Jérusalem, Palestine",Flower Thrower,Mural,31.7683,35.2137,"Manifestant lançant un bouquet de fleurs au lieu d'une pierre",
2003-01-01,"Londres, UK",Laugh Now,Street Art,51.5074,-0.1278,"Singe portant une pancarte 'Laugh now, but one day we'll be in charge'",
2006-05-01,"Londres, UK",Sweeping It Under The Carpet,Street Art,51.538,-0.103,"Femme de ménage balayant la saleté sous un rideau",Shepard Fairey
2008-08-01,"Nouvelle Orléans, USA",Umbrella Girl,Intervention,29.951,-90.071,"Hommage aux victimes de l'ouragan Katrina",
2015-01-01,"Weston-super-Mare, UK",Dismaland,Installation,51.346,-2.977,"Parc d'attractions dystopique éphémère",
2021-08-01,"Londres, UK",London Safari,Série,51.5074,-0.1278,"Série d'animaux sauvages dans le métro londonien",
2024-08-01,"Londres, UK",Child Spraying Foliage,Street Art,51.5633,-0.1027,"Enfant peignant des feuillages verts sur un mur",
2025-01-15,"Marseille, France",Lighthouse Shadow,Mural,43.2965,5.3698,"Ombre d'un phare projetée sur un mur urbain",
2025-03-20,"Paris, France",Migrant Child,Street Art,48.8566,2.3522,"Enfant migrant tenant un drapeau blanc",
2025-06-10,"Berlin, Allemagne",Wall Fragment,Installation,52.5200,13.4050,"Fragment du mur de Berlin avec message d'espoir",
2025-09-05,"New York, USA",Subway Rat,Street Art,40.7128,-74.0060,"Rat tenant un spray de peinture dans le métro",
